TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
IND,IND vs. PHI,03/18/2023,L,48,121,45,87,51.7,12,31,38.7,19,20,95.0,12,29,41,28,17,5,5,17,-20
ORL,ORL @ LAC,03/18/2023,W,48,113,42,84,50.0,10,31,32.3,19,25,76.0,9,36,45,23,18,14,5,22,5
,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. MIN,03/18/2023,W,48,122,48,90,53.3,9,27,33.3,17,21,81.0,9,36,45,23,15,11,3,25,15
NYK,NYK vs. DEN,03/18/2023,W,48,116,41,83,49.4,9,32,28.1,25,28,89.3,15,28,43,23,12,9,4,16,6
WAS,WAS @ CLE,03/17/2023,L,48,94,35,76,46.1,8,23,34.8,16,20,80.0,6,32,38,22,17,5,6,19,-23
CLE,CLE vs. WAS,03/17/2023,W,48,117,48,87,55.2,4,19,21.1,17,22,77.3,9,32,41,31,11,9,7,19,23
MEM,MEM @ SAS,03/17/2023,W,53,126,49,101,48.5,14,38,36.8,14,21,66.7,15,37,52,27,17,13,9,24,6
CHA,CHA vs. PHI,03/17/2023,L,48,82,29,86,33.7,5,35,14.3,19,26,73.1,7,28,35,20,14,10,6,16,-39
NOP,NOP @ HOU,03/17/2023,L,48,112,39,82,47.6,12,28,42.9,22,25,88.0,8,27,35,22,9,8,5,17,-2
SAS,SAS vs. MEM,03/17/2023,L,53,120,39,98,39.8,20,52,38.5,22,29,75.9,16,38,54,31,20,11,4,19,-6
HOU,HOU vs. NOP,03/17/2023,W,48,114,43,88,48.9,11,32,34.4,17,24,70.8,15,37,52,20,13,9,3,19,2
PHI,PHI @ CHA,03/17/2023,W,48,121,46,92,50.0,10,32,31.3,19,25,76.0,14,48,62,24,15,9,9,19,39
GSW,GSW @ ATL,03/17/2023,L,48,119,47,98,48.0,11,40,27.5,14,20,70.0,16,38,54,28,17,6,9,20,-8
DAL,DAL @ LAL,03/17/2023,W,48,111,40,79,50.6,16,34,47.1,15,19,78.9,7,28,35,27,15,8,4,26,1
CHI,CHI vs. MIN,03/17/2023,W,58,139,51,94,54.3,11,24,45.8,26,30,86.7,6,41,47,23,12,9,6,21,8
POR,POR vs. BOS,03/17/2023,L,48,112,38,79,48.1,14,38,36.8,22,31,71.0,8,29,37,20,19,12,4,26,-14
MIN,MIN @ CHI,03/17/2023,L,58,131,46,100,46.0,18,42,42.9,21,31,67.7,14,36,50,33,16,6,8,24,-8
LAL,LAL vs. DAL,03/17/2023,L,48,110,43,84,51.2,5,20,25.0,19,31,61.3,13,29,42,23,12,8,3,18,-1
BOS,BOS @ POR,03/17/2023,W,48,126,41,87,47.1,15,42,35.7,29,35,82.9,18,34,52,29,18,12,2,19,14
ATL,ATL vs. GSW,03/17/2023,W,48,127,47,100,47.0,16,41,39.0,17,25,68.0,13,32,45,27,11,7,8,15,8
TOR,TOR vs. OKC,03/16/2023,W,48,128,47,97,48.5,14,32,43.8,20,28,71.4,19,40,59,29,10,10,6,20,17
ORL,ORL @ PHX,03/16/2023,L,48,113,43,86,50.0,8,28,28.6,19,23,82.6,11,36,47,25,19,7,3,20,-3
BKN,BKN vs. SAC,03/16/2023,L,48,96,33,80,41.3,14,39,35.9,16,23,69.6,3,38,41,20,7,8,4,22,-5
SAC,SAC @ BKN,03/16/2023,W,48,101,32,82,39.0,13,41,31.7,24,32,75.0,13,44,57,22,12,2,5,17,5
MIL,MIL vs. IND,03/16/2023,L,48,123,47,89,52.8,11,32,34.4,18,26,69.2,9,35,44,26,12,5,4,16,-16
DEN,DEN @ DET,03/16/2023,W,48,119,47,89,52.8,8,24,33.3,17,25,68.0,13,34,47,29,10,9,7,15,19
OKC,OKC @ TOR,03/16/2023,L,48,111,40,94,42.6,13,31,41.9,18,20,90.0,11,28,39,18,13,5,4,17,-17
IND,IND @ MIL,03/16/2023,W,48,139,54,97,55.7,22,46,47.8,9,15,60.0,8,34,42,36,10,5,3,20,16
DET,DET vs. DEN,03/16/2023,L,48,100,39,85,45.9,12,27,44.4,10,18,55.6,13,24,37,24,17,8,3,20,-19
PHX,PHX vs. ORL,03/16/2023,W,48,116,43,90,47.8,13,35,37.1,17,17,100,7,28,35,26,14,7,5,22,3
LAC,LAC vs. GSW,03/15/2023,W,48,134,46,96,47.9,16,34,47.1,26,32,81.3,16,28,44,30,8,11,1,18,8
BOS,BOS @ MIN,03/15/2023,W,48,104,34,84,40.5,12,40,30.0,24,30,80.0,8,36,44,20,11,7,5,22,2
GSW,GSW @ LAC,03/15/2023,L,48,126,49,88,55.7,17,36,47.2,11,15,73.3,7,29,36,28,16,5,1,25,-8
MEM,MEM @ MIA,03/15/2023,L,48,119,46,91,50.5,18,46,39.1,9,14,64.3,12,27,39,29,16,6,1,20,-19
