GAME DATE,H_TEAM,H_FINAL,H_MIN,H_PTS,H_FGM,H_FGA,H_FG%,H_3PM,H_3PA,H_3P%,H_FTM,H_FTA,H_FT%,H_OREB,H_DREB,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PF,H_+/-,A_TEAM,A_FINAL,A_MIN,A_PTS,A_FGM,A_FGA,A_FG%,A_3PM,A_3PA,A_3P%,A_FTM,A_FTA,A_FT%,A_OREB,A_DREB,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PF,A_+/-,POINT_TOTAL
04/19/2021,IND,0,48.0,94.0,34.0,104.0,32.7,8.0,34.0,23.5,18.0,27.0,66.7,14.0,40.0,54.0,20.0,7.0,4.0,7.0,27.0,-15.0,SAS,1,48.0,109.0,36.0,84.0,42.9,8.0,28.0,28.6,29.0,35.0,82.9,9.0,48.0,57.0,27.0,12.0,4.0,4.0,23.0,15.0,203.0
04/18/2021,CHA,1,48.0,109.0,39.0,83.0,47.0,18.0,43.0,41.9,13.0,17.0,76.5,7.0,39.0,46.0,26.0,14.0,6.0,8.0,25.0,8.0,POR,0,48.0,101.0,36.0,91.0,39.6,10.0,36.0,27.8,19.0,28.0,67.9,13.0,34.0,47.0,18.0,9.0,7.0,3.0,17.0,-8.0,210.0
04/18/2021,MIA,1,48.0,109.0,38.0,87.0,43.7,16.0,39.0,41.0,17.0,21.0,81.0,16.0,37.0,53.0,28.0,17.0,9.0,1.0,13.0,2.0,BKN,0,48.0,107.0,39.0,82.0,47.6,17.0,43.0,39.5,12.0,18.0,66.7,8.0,30.0,38.0,26.0,11.0,10.0,6.0,17.0,-2.0,216.0
04/18/2021,NYK,1,53.0,122.0,45.0,95.0,47.4,11.0,29.0,37.9,21.0,24.0,87.5,13.0,36.0,49.0,27.0,13.0,9.0,6.0,26.0,10.0,NOP,0,53.0,112.0,41.0,101.0,40.6,6.0,27.0,22.2,24.0,30.0,80.0,20.0,32.0,52.0,25.0,13.0,6.0,4.0,16.0,-10.0,234.0
04/18/2021,TOR,1,48.0,112.0,37.0,96.0,38.5,17.0,38.0,44.7,21.0,24.0,87.5,16.0,31.0,47.0,23.0,15.0,9.0,5.0,15.0,6.0,OKC,0,48.0,106.0,37.0,82.0,45.1,14.0,33.0,42.4,18.0,21.0,85.7,9.0,37.0,46.0,22.0,23.0,6.0,8.0,19.0,-6.0,218.0
04/18/2021,LAC,1,48.0,124.0,45.0,89.0,50.6,21.0,42.0,50.0,13.0,17.0,76.5,8.0,40.0,48.0,31.0,15.0,6.0,3.0,26.0,19.0,MIN,0,48.0,105.0,36.0,88.0,40.9,17.0,45.0,37.8,16.0,21.0,76.2,6.0,31.0,37.0,27.0,11.0,6.0,7.0,21.0,-19.0,229.0
04/18/2021,ORL,0,48.0,110.0,41.0,91.0,45.1,11.0,32.0,34.4,17.0,19.0,89.5,9.0,27.0,36.0,28.0,15.0,10.0,5.0,19.0,-4.0,HOU,1,48.0,114.0,42.0,82.0,51.2,16.0,34.0,47.1,14.0,20.0,70.0,10.0,33.0,43.0,26.0,19.0,7.0,7.0,21.0,4.0,224.0
04/18/2021,DAL,0,48.0,107.0,39.0,87.0,44.8,16.0,48.0,33.3,13.0,20.0,65.0,10.0,32.0,42.0,15.0,14.0,3.0,8.0,20.0,-14.0,SAC,1,48.0,121.0,44.0,89.0,49.4,11.0,24.0,45.8,22.0,25.0,88.0,10.0,32.0,42.0,22.0,8.0,11.0,3.0,19.0,14.0,228.0
04/18/2021,ATL,1,48.0,129.0,45.0,92.0,48.9,13.0,32.0,40.6,26.0,34.0,76.5,14.0,37.0,51.0,20.0,10.0,8.0,7.0,19.0,12.0,IND,0,48.0,117.0,45.0,92.0,48.9,10.0,32.0,31.3,17.0,20.0,85.0,8.0,33.0,41.0,33.0,12.0,7.0,5.0,27.0,-12.0,246.0
04/17/2021,WAS,1,48.0,121.0,50.0,94.0,53.2,9.0,16.0,56.3,12.0,19.0,63.2,10.0,38.0,48.0,25.0,14.0,11.0,6.0,24.0,21.0,DET,0,48.0,100.0,37.0,84.0,44.0,9.0,27.0,33.3,17.0,23.0,73.9,9.0,36.0,45.0,19.0,18.0,7.0,6.0,20.0,-21.0,221.0
04/17/2021,PHX,0,48.0,85.0,36.0,90.0,40.0,6.0,27.0,22.2,7.0,16.0,43.8,15.0,33.0,48.0,19.0,14.0,7.0,2.0,14.0,-26.0,SAS,1,48.0,111.0,45.0,89.0,50.6,12.0,29.0,41.4,9.0,12.0,75.0,5.0,41.0,46.0,23.0,13.0,10.0,9.0,17.0,26.0,196.0
04/17/2021,CHI,1,48.0,106.0,41.0,82.0,50.0,16.0,40.0,40.0,8.0,9.0,88.9,4.0,34.0,38.0,30.0,10.0,6.0,2.0,15.0,10.0,CLE,0,48.0,96.0,39.0,88.0,44.3,12.0,30.0,40.0,6.0,7.0,85.7,11.0,33.0,44.0,27.0,11.0,6.0,1.0,10.0,-10.0,202.0
04/17/2021,LAL,1,53.0,127.0,48.0,93.0,51.6,11.0,33.0,33.3,20.0,23.0,87.0,11.0,41.0,52.0,26.0,15.0,8.0,8.0,14.0,12.0,UTA,0,53.0,115.0,42.0,101.0,41.6,23.0,59.0,39.0,8.0,8.0,100.0,6.0,31.0,37.0,31.0,16.0,10.0,3.0,21.0,-12.0,242.0
04/17/2021,MIL,0,48.0,115.0,39.0,91.0,42.9,16.0,47.0,34.0,21.0,27.0,77.8,13.0,32.0,45.0,27.0,16.0,7.0,1.0,8.0,-13.0,MEM,1,48.0,128.0,51.0,93.0,54.8,15.0,40.0,37.5,11.0,12.0,91.7,7.0,36.0,43.0,31.0,11.0,10.0,3.0,18.0,13.0,243.0
04/17/2021,BOS,1,48.0,119.0,44.0,94.0,46.8,15.0,46.0,32.6,16.0,20.0,80.0,14.0,31.0,45.0,18.0,9.0,9.0,2.0,18.0,5.0,GSW,0,48.0,114.0,41.0,80.0,51.3,17.0,40.0,42.5,15.0,20.0,75.0,8.0,32.0,40.0,22.0,18.0,6.0,2.0,23.0,-5.0,233.0
04/16/2021,MIN,1,48.0,119.0,42.0,81.0,51.9,15.0,36.0,41.7,20.0,29.0,69.0,10.0,35.0,45.0,30.0,21.0,8.0,2.0,22.0,8.0,MIA,0,48.0,111.0,39.0,80.0,48.8,14.0,34.0,41.2,19.0,26.0,73.1,7.0,26.0,33.0,33.0,14.0,11.0,5.0,28.0,-8.0,230.0
04/16/2021,WAS,1,53.0,117.0,45.0,96.0,46.9,4.0,27.0,14.8,23.0,32.0,71.9,3.0,43.0,46.0,24.0,13.0,5.0,7.0,24.0,2.0,NOP,0,53.0,115.0,40.0,97.0,41.2,7.0,28.0,25.0,28.0,33.0,84.8,11.0,45.0,56.0,26.0,16.0,11.0,7.0,22.0,-2.0,232.0
04/16/2021,UTA,1,48.0,119.0,42.0,87.0,48.3,16.0,42.0,38.1,19.0,24.0,79.2,10.0,46.0,56.0,22.0,21.0,5.0,6.0,19.0,8.0,IND,0,48.0,111.0,41.0,105.0,39.0,13.0,39.0,33.3,16.0,17.0,94.1,14.0,29.0,43.0,23.0,10.0,13.0,3.0,19.0,-8.0,230.0
04/16/2021,PHI,1,48.0,106.0,35.0,83.0,42.2,14.0,44.0,31.8,22.0,30.0,73.3,11.0,35.0,46.0,21.0,13.0,13.0,7.0,19.0,3.0,LAC,0,48.0,103.0,37.0,82.0,45.1,19.0,39.0,48.7,10.0,16.0,62.5,8.0,35.0,43.0,26.0,19.0,6.0,3.0,26.0,-3.0,209.0
04/09/2023,POR,0,48.0,101.0,38.0,95.0,40.0,9.0,35.0,25.7,16.0,24.0,66.7,6.0,24.0,30.0,25.0,14.0,5.0,3.0,9.0,-56.0,GSW,1,48.0,157.0,58.0,96.0,60.4,27.0,49.0,55.1,14.0,16.0,87.5,9.0,49.0,58.0,47.0,16.0,13.0,6.0,18.0,56.0,258.0
04/09/2023,BKN,0,48.0,105.0,35.0,83.0,42.2,12.0,32.0,37.5,23.0,28.0,82.1,10.0,32.0,42.0,22.0,19.0,6.0,6.0,22.0,-29.0,PHI,1,48.0,134.0,53.0,101.0,52.5,14.0,32.0,43.8,14.0,19.0,73.7,13.0,37.0,50.0,31.0,13.0,10.0,5.0,23.0,29.0,239.0
04/09/2023,CHI,1,48.0,103.0,40.0,95.0,42.1,6.0,30.0,20.0,17.0,22.0,77.3,11.0,37.0,48.0,21.0,4.0,15.0,7.0,16.0,22.0,DET,0,48.0,81.0,31.0,85.0,36.5,9.0,33.0,27.3,10.0,13.0,76.9,15.0,44.0,59.0,20.0,25.0,1.0,3.0,16.0,-22.0,184.0
04/09/2023,DAL,0,48.0,117.0,46.0,108.0,42.6,17.0,53.0,32.1,8.0,16.0,50.0,8.0,38.0,46.0,28.0,4.0,4.0,3.0,21.0,-21.0,SAS,1,48.0,138.0,51.0,104.0,49.0,15.0,38.0,39.5,21.0,30.0,70.0,13.0,56.0,69.0,31.0,12.0,2.0,3.0,13.0,21.0,255.0
04/09/2023,TOR,1,48.0,121.0,48.0,95.0,50.5,11.0,33.0,33.3,14.0,16.0,87.5,7.0,38.0,45.0,29.0,9.0,8.0,2.0,19.0,16.0,MIL,0,48.0,105.0,38.0,82.0,46.3,12.0,34.0,35.3,17.0,21.0,81.0,7.0,31.0,38.0,28.0,14.0,5.0,2.0,13.0,-16.0,226.0
04/09/2023,OKC,1,48.0,115.0,45.0,90.0,50.0,12.0,36.0,33.3,13.0,16.0,81.3,8.0,41.0,49.0,30.0,16.0,5.0,2.0,17.0,15.0,MEM,0,48.0,100.0,40.0,92.0,43.5,7.0,37.0,18.9,13.0,18.0,72.2,11.0,32.0,43.0,25.0,12.0,8.0,4.0,16.0,-15.0,215.0
04/09/2023,DEN,1,48.0,109.0,42.0,84.0,50.0,7.0,28.0,25.0,18.0,25.0,72.0,15.0,36.0,51.0,25.0,20.0,11.0,2.0,15.0,14.0,SAC,0,48.0,95.0,37.0,85.0,43.5,11.0,43.0,25.6,10.0,15.0,66.7,10.0,24.0,34.0,24.0,15.0,7.0,6.0,18.0,-14.0,204.0
04/09/2023,MIA,1,48.0,123.0,45.0,83.0,54.2,18.0,44.0,40.9,15.0,20.0,75.0,7.0,37.0,44.0,30.0,18.0,10.0,3.0,20.0,13.0,ORL,0,48.0,110.0,38.0,90.0,42.2,17.0,47.0,36.2,17.0,24.0,70.8,13.0,30.0,43.0,29.0,14.0,13.0,1.0,17.0,-13.0,233.0
